rank,total_amount_eth,total_amount_usd,address_short,last_campaign_end,last_found_date,min_unclaimed_days,max_unclaimed_days,avg_unclaimed_days,avg_claim_probability,total_campaigns,unique_tokens,unique_chains,max_score,total_expected_value,urgency,profit_tier,value_density,inactivity_score,time_decay_risk,recommended_action,opportunity_type,tokens_breakdown,chains_breakdown,whale_flag,is_diversified,address_score
1713,0.00668544,14.6,0xceca...f6ee,2026-02-18,2026-04-13,53.0,53.0,53.0,95.0,2,1,1,30.667136,3.64,low,micro,0.85,low,medium,monitor_monthly,high_confidence_low_value,MORPHO:0.0067ETH,Arbitrum:0.0067ETH,no,no,33.401
1731,0.00656987,14.350000000000001,0xebc2...0f3b,2026-04-16,2026-04-13,0.0,3.0,1.5,57.0,2,1,1,19.326675499999997,2.87,low,micro,1.15,very_low,very_high,monitor_monthly,speculative,PYUSD:0.0066ETH,Ethereum:0.0066ETH,no,no,20.8612
1749,0.00640221,13.98,0xbc75...d6c2,2026-04-14,2026-04-13,0.0,0.0,0.0,92.0,1,1,1,29.920110499999996,3.5,low,micro,1.63,very_low,very_high,monitor_monthly,high_confidence_low_value,MORPHO:0.0064ETH,Base:0.0064ETH,no,no,31.9121
1767,0.00630821,13.78,0xc841...4c69,2026-05-09,2026-04-13,0.0,0.0,0.0,72.0,1,1,1,23.915410499999997,3.44,low,micro,1.61,very_low,very_high,monitor_monthly,high_confidence_low_value,USDC:0.0063ETH,Base:0.0063ETH,no,no,25.307
1785,0.00616921,13.47,0x8336...0cfa,2026-04-14,2026-04-13,0.0,0.0,0.0,92.0,1,1,1,29.908460499999997,3.37,low,micro,1.57,very_low,very_high,monitor_monthly,high_confidence_low_value,MORPHO:0.0062ETH,Base:0.0062ETH,no,no,31.8993
1803,0.00603284,13.18,0x8279...0671,2026-04-14,2026-04-13,0.0,0.0,0.0,92.0,1,1,1,29.901642,3.29,low,micro,1.54,very_low,very_high,monitor_monthly,high_confidence_low_value,MORPHO:0.006ETH,Base:0.006ETH,no,no,31.8918
1821,0.00594937,12.99,0x5aab...001c,2026-04-14,2026-04-13,0.0,0.0,0.0,92.0,1,1,1,29.8974685,3.25,low,micro,1.52,very_low,very_high,monitor_monthly,high_confidence_low_value,MORPHO:0.0059ETH,Base:0.0059ETH,no,no,31.8872
1839,0.00587453,12.83,0x3590...bcca,2026-04-14,2026-04-13,0.0,0.0,0.0,92.0,1,1,1,29.8937265,3.21,low,micro,1.5,very_low,very_high,monitor_monthly,high_confidence_low_value,MORPHO:0.0059ETH,Base:0.0059ETH,no,no,31.8831
1857,0.00580591,12.68,0x18a1...84dc,2026-04-14,2026-04-13,0.0,0.0,0.0,92.0,1,1,1,29.890295499999997,3.17,low,micro,1.48,very_low,very_high,monitor_monthly,high_confidence_low_value,MORPHO:0.0058ETH,Base:0.0058ETH,no,no,31.8793
1875,0.00571347,12.48,0xebb7...46c6,2026-04-14,2026-04-13,0.0,0.0,0.0,92.0,1,1,1,29.8856735,3.12,low,micro,1.46,very_low,very_high,monitor_monthly,high_confidence_low_value,MORPHO:0.0057ETH,Base:0.0057ETH,no,no,31.8742
